'timestamp' 	 'F1Value' 	 'F2Value' 
'numInterv' 	 1000 
0.005 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 
0.025 	 --undefined-- 	 --undefined-- 
0.035 	 464.3 	 2065.4 
0.045 	 458.9 	 1946.4 
0.055 	 657.7 	 1942.1 
0.065 	 403.2 	 1948.8 
0.075 	 315.8 	 1824.5 
0.085 	 316.1 	 1651.6 
0.095 	 349.3 	 1680.4 
0.105 	 279.7 	 1736.0 
0.115 	 528.8 	 1980.8 
0.125 	 1090.6 	 2240.0 
0.135 	 1196.1 	 2329.4 
0.145 	 733.3 	 2093.3 
0.155 	 647.3 	 2005.4 
0.165 	 1054.6 	 2127.7 
0.175 	 853.5 	 1937.4 
0.185 	 444.2 	 1781.0 
0.195 	 811.6 	 1730.8 
0.205 	 1061.1 	 2067.2 
0.215 	 793.7 	 2092.4 
0.225 	 673.7 	 1902.7 
0.235 	 670.7 	 2162.8 
0.245 	 657.6 	 1945.1 
0.255 	 798.1 	 2014.8 
0.265 	 793.6 	 1948.8 
0.275 	 718.0 	 1782.7 
0.285 	 662.2 	 1874.7 
0.295 	 472.5 	 1691.7 
0.305 	 431.2 	 1694.0 
0.315 	 407.0 	 1577.6 
0.325 	 374.2 	 1382.7 
0.335 	 349.8 	 1355.7 
0.345 	 620.7 	 1615.7 
0.355 	 821.4 	 1577.8 
0.365 	 867.9 	 1232.2 
0.375 	 893.1 	 1563.1 
0.385 	 688.6 	 1896.9 
0.395 	 569.4 	 1658.0 
0.405 	 699.4 	 1624.0 
0.415 	 697.3 	 1674.7 
0.425 	 520.0 	 1714.7 
0.435 	 580.8 	 1713.9 
0.445 	 634.1 	 2053.5 
0.455 	 487.1 	 2185.6 
0.465 	 414.3 	 1853.2 
0.475 	 422.4 	 1870.7 
0.485 	 439.2 	 1861.2 
0.495 	 415.6 	 1619.0 
0.505 	 470.9 	 1747.9 
0.515 	 372.1 	 1935.7 
0.525 	 1047.2 	 2355.8 
0.535 	 1014.8 	 2287.6 
0.545 	 579.1 	 1782.8 
0.555 	 1038.3 	 2019.5 
0.565 	 933.0 	 2276.9 
0.575 	 881.1 	 2253.0 
0.585 	 639.1 	 1981.4 
0.595 	 377.2 	 1780.6 
0.605 	 662.1 	 1953.7 
0.615 	 885.0 	 2049.4 
0.625 	 835.5 	 1971.9 
0.635 	 943.1 	 2062.4 
0.645 	 1076.5 	 2152.9 
0.655 	 1048.7 	 2069.5 
0.665 	 913.9 	 1913.4 
0.675 	 895.3 	 2035.6 
0.685 	 666.1 	 1990.7 
0.695 	 635.7 	 1868.0 
0.705 	 924.3 	 2031.0 
0.715 	 1028.8 	 2325.3 
0.725 	 1031.6 	 2314.9 
0.735 	 794.1 	 2083.0 
0.745 	 484.6 	 1845.8 
0.755 	 357.7 	 1790.3 
0.765 	 357.3 	 2167.1 
0.775 	 520.7 	 2397.8 
0.785 	 614.9 	 2638.4 
0.795 	 547.7 	 2751.3 
0.805 	 482.5 	 2214.9 
0.815 	 603.3 	 2272.2 
0.825 	 757.3 	 2297.3 
0.835 	 638.9 	 1662.3 
0.845 	 539.6 	 1553.8 
0.855 	 508.8 	 1572.6 
0.865 	 583.2 	 1805.1 
0.875 	 662.8 	 1923.7 
0.885 	 740.8 	 2196.4 
0.895 	 800.1 	 2640.4 
0.905 	 746.6 	 2441.9 
0.915 	 753.9 	 2256.7 
0.925 	 742.0 	 2243.9 
0.935 	 628.5 	 2193.6 
0.945 	 585.7 	 2088.4 
0.955 	 619.0 	 1984.1 
0.965 	 722.6 	 1919.2 
0.975 	 822.6 	 2163.9 
0.985 	 696.1 	 2121.6 
0.995 	 379.2 	 1649.8 
1.005 	 309.7 	 1639.2 
1.015 	 420.2 	 1776.5 
1.025 	 448.6 	 1908.2 
1.035 	 489.6 	 2014.3 
1.045 	 821.6 	 2005.0 
1.055 	 1290.8 	 2257.5 
1.065 	 1057.7 	 2308.7 
1.075 	 595.2 	 1965.8 
1.085 	 480.4 	 1780.2 
1.095 	 1062.5 	 1927.7 
1.105 	 1699.5 	 2347.7 
1.115 	 1001.8 	 2132.6 
1.125 	 353.6 	 1744.1 
1.135 	 1058.7 	 2218.2 
1.145 	 1598.8 	 2632.8 
1.155 	 864.4 	 2127.2 
1.165 	 255.2 	 1640.5 
1.175 	 291.1 	 1656.6 
1.185 	 312.2 	 1792.6 
1.195 	 346.1 	 2063.3 
1.205 	 329.0 	 1953.9 
1.215 	 339.8 	 1675.8 
1.225 	 392.2 	 1751.3 
1.235 	 335.5 	 1845.3 
1.245 	 334.4 	 1936.7 
1.255 	 360.3 	 1894.6 
1.265 	 326.8 	 1698.8 
1.275 	 335.4 	 1675.5 
1.285 	 357.4 	 1608.9 
1.295 	 944.2 	 2160.9 
1.305 	 927.0 	 2207.8 
1.315 	 421.2 	 1377.2 
1.325 	 437.5 	 1444.2 
1.335 	 408.0 	 1682.0 
1.345 	 445.9 	 1645.6 
1.355 	 403.8 	 1774.2 
1.365 	 443.7 	 1860.5 
1.375 	 527.5 	 1799.7 
1.385 	 514.0 	 1761.4 
1.395 	 502.4 	 1770.1 
1.405 	 540.6 	 1693.6 
1.415 	 561.0 	 1552.7 
1.425 	 533.6 	 1538.2 
1.435 	 496.7 	 1562.3 
1.445 	 483.8 	 1535.2 
1.455 	 466.5 	 1488.3 
