'timestamp' 	 'V_Pitch' 	 'V_Intensity' 
'numInterv' 	 1000 
0.01 	 --undefined-- 	 --undefined-- 
0.02 	 --undefined-- 	 --undefined-- 
0.03 	 --undefined-- 	 --undefined-- 
0.04 	 --undefined-- 	 --undefined-- 
0.05 	 --undefined-- 	 58.043 
0.06 	 --undefined-- 	 60.456 
0.07 	 --undefined-- 	 61.436 
0.08 	 --undefined-- 	 60.548 
0.09 	 --undefined-- 	 58.942 
0.10 	 --undefined-- 	 58.100 
0.11 	 --undefined-- 	 56.587 
0.12 	 --undefined-- 	 53.570 
0.13 	 --undefined-- 	 51.316 
0.14 	 --undefined-- 	 55.968 
0.15 	 136.595 	 60.883 
0.16 	 133.162 	 63.797 
0.17 	 128.172 	 65.020 
0.18 	 124.887 	 65.086 
0.19 	 143.320 	 64.711 
0.20 	 160.696 	 64.236 
0.21 	 156.723 	 63.681 
0.22 	 155.678 	 63.139 
0.23 	 157.226 	 62.623 
0.24 	 159.435 	 62.070 
0.25 	 159.911 	 61.610 
0.26 	 159.681 	 61.341 
0.27 	 139.972 	 61.228 
0.28 	 120.256 	 61.219 
0.29 	 120.559 	 61.310 
0.30 	 121.385 	 61.440 
0.31 	 121.673 	 61.442 
0.32 	 120.992 	 61.338 
0.33 	 140.503 	 61.232 
0.34 	 159.881 	 61.101 
0.35 	 159.780 	 60.854 
0.36 	 160.381 	 60.547 
0.37 	 159.634 	 60.356 
0.38 	 157.960 	 60.410 
0.39 	 156.811 	 60.633 
0.40 	 156.272 	 60.762 
0.41 	 156.326 	 60.655 
0.42 	 155.827 	 60.353 
0.43 	 157.364 	 60.081 
0.44 	 158.904 	 59.919 
0.45 	 159.057 	 59.693 
0.46 	 159.500 	 59.381 
0.47 	 139.532 	 58.787 
0.48 	 140.875 	 57.809 
0.49 	 142.102 	 56.735 
0.50 	 122.594 	 55.882 
0.51 	 124.068 	 55.457 
0.52 	 124.760 	 55.540 
0.53 	 123.368 	 55.587 
0.54 	 --undefined-- 	 55.684 
0.55 	 --undefined-- 	 56.242 
0.56 	 493.689 	 56.621 
0.57 	 468.669 	 56.169 
0.58 	 448.501 	 55.646 
0.59 	 450.226 	 54.671 
0.60 	 444.801 	 51.571 
0.61 	 --undefined-- 	 45.710 
0.62 	 --undefined-- 	 40.714 
0.63 	 --undefined-- 	 38.932 
0.64 	 --undefined-- 	 37.548 
0.65 	 --undefined-- 	 36.623 
0.66 	 --undefined-- 	 36.383 
0.67 	 --undefined-- 	 36.445 
0.68 	 --undefined-- 	 36.260 
0.69 	 --undefined-- 	 35.782 
0.70 	 --undefined-- 	 35.038 
0.71 	 --undefined-- 	 34.482 
0.72 	 --undefined-- 	 35.138 
0.73 	 --undefined-- 	 36.509 
0.74 	 --undefined-- 	 38.284 
0.75 	 --undefined-- 	 39.925 
0.76 	 --undefined-- 	 40.262 
0.77 	 --undefined-- 	 39.015 
0.78 	 --undefined-- 	 36.723 
0.79 	 --undefined-- 	 34.591 
0.80 	 --undefined-- 	 34.994 
0.81 	 --undefined-- 	 37.124 
0.82 	 --undefined-- 	 39.198 
0.83 	 --undefined-- 	 41.228 
0.84 	 --undefined-- 	 42.604 
0.85 	 --undefined-- 	 42.865 
0.86 	 --undefined-- 	 42.211 
0.87 	 --undefined-- 	 45.776 
0.88 	 --undefined-- 	 54.428 
0.89 	 129.329 	 60.703 
0.90 	 129.765 	 64.466 
0.91 	 126.698 	 66.179 
0.92 	 126.807 	 66.446 
0.93 	 129.787 	 65.837 
0.94 	 130.040 	 64.625 
0.95 	 132.279 	 63.000 
0.96 	 133.554 	 61.080 
0.97 	 133.121 	 58.819 
0.98 	 132.495 	 56.120 
0.99 	 130.430 	 52.998 
1.00 	 130.482 	 49.497 
1.01 	 131.717 	 46.620 
1.02 	 131.805 	 45.555 
1.03 	 132.440 	 45.104 
1.04 	 206.421 	 45.694 
1.05 	 290.351 	 48.778 
1.06 	 --undefined-- 	 54.734 
1.07 	 122.454 	 60.042 
